learning_rate,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_test_score
0.16384242582435987,97,235,6,142,2514,0.9531359401610393
0.2006844326786298,92,280,7,23,1272,0.9529053519096791
0.07196590773433534,49,272,24,95,574,0.9528476743197066
0.14782127968828246,27,148,4,19,1163,0.9527035987152886
0.10171024975854066,58,195,21,55,603,0.9525882759314843
0.23921352047344005,65,278,2,15,1218,0.9521559768499174
0.14843749864150743,58,253,16,128,622,0.9517813229621824
0.23130744960100844,63,239,13,126,624,0.951752467969126
0.06545170868035846,15,182,25,31,1543,0.9516371601373866
0.3488777676522409,19,242,5,38,1289,0.9514066491383611
0.02167815992857692,51,273,22,95,570,0.9510895980802746
0.17263017459710953,9,234,8,19,1214,0.9509742952325566
0.039471130881281735,32,278,45,4,1254,0.9508877825856142
0.18732070467589745,11,257,10,143,1313,0.9504554984561121
0.5,32,280,1,141,1380,0.9503114228516942
0.3676939582639348,99,108,7,48,428,0.9501384947462307
0.07761430146262442,86,125,22,44,1205,0.950138479794166
0.26992441625500907,73,198,20,111,545,0.9495620029357382
0.22647497182981385,32,115,12,86,1165,0.949100873781223
0.10021167434764067,26,200,53,21,670,0.9491008364010609
0.247779696224773,5,192,5,86,1222,0.9483227035366643
0.11217790242468453,7,90,43,60,1110,0.9482650782789187
0.3439202452029936,96,193,25,5,635,0.9482074106569894
0.23466391017431687,7,273,47,144,1550,0.9482073558327518
0.018802867285404194,31,195,51,128,1282,0.9479768348656833
0.32403415257685675,16,220,22,139,1156,0.9475156832830707
0.27045561891811115,9,220,48,118,599,0.9474003006910072
0.05919647267923058,87,249,75,92,602,0.9472274548219
0.5,5,126,1,150,1468,0.9469392512808374
0.4595920127023513,18,258,18,103,1244,0.9469104386519648
0.26416524243170153,50,156,16,137,1211,0.9468815936269515
0.24874659052720835,25,227,51,31,568,0.9465356676397221
0.01628378491426037,60,53,25,83,1091,0.9464204993605874
0.012736710753049128,93,215,40,67,673,0.9462475787311564
0.4787138494148681,31,242,31,61,620,0.9462474715746918
0.21776820893247648,63,234,35,66,1225,0.9462187062940243
0.20681120061985897,37,155,56,2,604,0.9459881105666316
0.45205198704728555,88,239,18,147,2458,0.9456710694765883
0.25940300706224895,63,178,14,128,2488,0.9451234326591521
0.3072674551940964,53,57,13,31,1166,0.945094687314571
0.4454993456633541,70,226,18,5,1442,0.9447487937234819
0.1425455375574815,91,32,9,108,2635,0.944633505827829
0.01987477047678258,70,168,79,77,1326,0.9445758706020401
0.4995811413317086,25,243,37,66,634,0.944575810793781
0.14169037518323457,32,245,90,140,547,0.9444605876904086
0.35658178967558074,88,223,45,49,535,0.9442011668740893
0.2781755881960059,40,133,26,84,1514,0.9438553206312054
0.19603972727443847,54,154,65,83,1156,0.9437688503484466
0.46294282004221776,29,157,38,76,647,0.9435670871860132
0.1338616959626047,94,83,53,48,2491,0.9434805720470599
0.33376762536403304,11,137,78,123,1112,0.943394104256312
0.4987408274253464,9,210,47,98,1538,0.942904162472924
0.46612820382908693,14,212,46,141,1222,0.9428465222631136
0.3218268430850024,98,170,28,148,2464,0.9422989651900231
0.1329755644634442,97,177,98,4,1475,0.9421836822783917
0.4005654286519534,5,212,100,2,1155,0.9416072303400721
0.21220711550373852,86,180,92,5,1474,0.9416071780078452
0.27046499194211515,68,140,92,79,599,0.941491890112192
0.3347568358606754,57,142,100,86,599,0.9413478369358713
0.2746728903168842,68,160,80,73,1318,0.9410019433447824
0.4763491318398533,67,80,51,55,919,0.940771357585433
0.5,85,206,61,150,593,0.9407425723686789
0.3347437604173995,67,149,90,84,598,0.9407425524325926
0.22197606648620302,99,207,57,117,2496,0.9406272869650367
0.024648781456656336,9,154,51,2,1205,0.9395609106874044
0.40946191355488504,91,110,38,23,1117,0.9395032306054212
0.022655536688706204,19,190,23,74,518,0.9394168076708679
0.41415203479601737,65,271,73,81,1300,0.9390132713779575
0.4243401485048363,39,146,59,51,1617,0.9387538430856056
0.4721933528357507,72,247,91,3,611,0.9382062461403425
0.3451408432759641,97,174,93,14,1470,0.9377739096786136
0.3284966236074542,40,229,92,26,4169,0.9349781925380873
0.4512217299654188,69,243,82,137,2312,0.9333929945639028
0.44040164276203275,40,273,2,129,1387,0.9323260301717218
0.27280916161958424,40,23,60,133,1240,0.9267928840232876
0.02921249898025933,90,68,84,44,1590,0.9243717883743559
0.001,100,180,32,150,2529,0.9214608281943709
0.43265857861732954,86,23,76,129,868,0.9174545744434276
0.001,30,112,60,73,1210,0.8984899012632925
0.0012359719295154952,14,262,47,75,1169,0.8950312319975583
0.013671624160796498,79,27,67,126,879,0.8950311049050074
0.42089368974618047,79,241,75,146,2521,0.891114037728595
0.42721095955410104,98,205,63,102,2495,0.8819445818165398
0.281730371320402,94,199,22,39,1302,0.8741910017128337
0.43756875717592214,80,253,23,51,3444,0.8720581494771374
0.4842561384372982,100,246,90,14,2727,0.8680521623713496
0.32182635869709136,62,176,60,117,3785,0.8588577215590109
0.07370287690264592,66,14,95,142,708,0.8483686487397889
0.4307559644618098,98,173,1,89,1156,0.7693709893110928
0.15610407007842128,83,94,20,18,4813,0.6787281883328191
