kernel,C,coef0,degree,gamma,tol,mean_test_score
rbf,166.51827928295072,,,0.7373376477764587,0.060660660675569515,0.96123
rbf,196.1088745008887,,,0.7090841309718959,0.6292713732444999,0.96103
sigmoid,704.4080770860264,-3.9281225850465606,,,0.0001,0.9606
sigmoid,681.4189482604929,-2.5423004795527717,,,0.4185524869089051,0.96046
sigmoid,255.37387943839113,-3.0999245528724706,,,0.0001,0.96043
sigmoid,674.3142710656138,-3.7319811666165847,,,0.3467579738426032,0.96037
rbf,804.573149276835,,,0.5621040791285903,0.46177208169549,0.96011
rbf,348.2096062454642,,,1.0560971085756692,0.6010615483920032,0.95988
rbf,274.36775620693237,,,1.1353923662491812,0.8862189085522318,0.95965
rbf,799.8884207654272,,,0.6538728430916235,0.8629835632805968,0.95956
rbf,963.7492410419163,,,0.8391319968231226,1.085915461304976,0.95922
sigmoid,893.7374094691846,-4.674614191958494,,,0.14776696834316358,0.95904
rbf,267.59421353910136,,,0.44218814212025115,0.768578886734785,0.9587
rbf,332.10394186324953,,,0.45100842946771413,0.8966520719050519,0.95864
rbf,663.7265794707812,,,0.42237374220969737,0.7163512829085074,0.95855
rbf,898.8720212109129,,,1.2107255187939525,1.0815672716329434,0.95855
rbf,372.2359110291162,,,0.3126793761356539,0.4054982203391972,0.95798
rbf,541.2247525070902,,,0.28403232564172376,0.3831141127493065,0.95798
rbf,121.61587727160277,,,0.396896363805177,1.2352439264816588,0.95789
sigmoid,889.3089710490042,-1.8855763914203294,,,0.00853050839479018,0.95778
sigmoid,50.85457496591077,-3.1087766898892544,,,1.526310906331325,0.95769
sigmoid,659.769114964364,-1.7466239627796618,,,0.2043151636272957,0.95769
rbf,818.6658571730497,,,0.3061065704690491,0.7887629809472344,0.95729
sigmoid,655.3649073160378,-2.6318568757199685,,,1.413785663654864,0.95726
rbf,657.2458283218743,,,0.32238000578438397,0.8576849816041316,0.95714
rbf,142.09417539888352,,,0.3275832547994084,1.3764094530500317,0.95697
rbf,727.426540432319,,,0.4563925882127584,1.3734789402550753,0.95648
rbf,928.19247062518,,,0.23851432576708465,1.038130212784552,0.95616
rbf,128.43188703125708,,,2.4506348644430496,1.723835291246816,0.9561
rbf,289.7260545242508,,,0.16114120248098163,0.6130353812233666,0.95587
sigmoid,899.7713529997058,-2.7056094056017663,,,1.8261103018885905,0.95573
rbf,918.7506629419947,,,2.448303148309562,1.6642637945295162,0.95561
rbf,834.8655275019746,,,0.15461247417759783,0.2601384847017925,0.95547
rbf,922.8392052139347,,,0.27831127917589793,1.323561392348603,0.95518
rbf,173.79365502420114,,,1.3632786819791132,1.8746147339419046,0.9551
rbf,905.370652957834,,,0.12618607891389688,0.5479056990148221,0.95501
sigmoid,689.0414453437371,-1.9166456060098405,,,1.6081014681369803,0.95498
rbf,158.28579921485658,,,0.12424877991356442,0.9524671747615188,0.95481
rbf,365.97174630832404,,,0.3543616932012855,1.5620840788184085,0.95481
rbf,527.036346492387,,,1.8995456515261133,0.250554499983463,0.95475
rbf,336.56249324428165,,,0.43613802280294545,1.6799932374422746,0.95475
sigmoid,695.8027404555975,-1.313430970002734,,,0.0001,0.95455
rbf,719.810096651768,,,0.5574096522971445,1.6733245328696056,0.95443
rbf,135.575683605273,,,0.0867433216374991,0.7454059627311053,0.95403
linear,3.4836707183532347,,,,0.006239065738935322,0.95391
linear,3.5230548019501016,,,,0.2605186547458603,0.95391
linear,3.7974912894789306,,,,0.0025776272164502985,0.95374
rbf,193.71432496002404,,,1.6546998757890057,1.924623943883697,0.95368
rbf,937.7518329232232,,,0.08387470974334954,0.835403092579498,0.95365
rbf,893.2054944897742,,,0.07769843799525722,0.43235755738648096,0.95337
linear,4.527184319985438,,,,0.0973982456425727,0.95331
rbf,911.7010690454969,,,0.33769474027342816,1.5543698781155408,0.95331
rbf,985.7511535738132,,,2.461318963991758,1.479602699564517,0.95308
linear,4.944378910268708,,,,0.030729846207727455,0.95285
rbf,978.0871741846461,,,0.06989044631005914,0.015706420310849182,0.95273
rbf,854.6071738479075,,,0.06502375791337445,0.2553319092650991,0.95259
linear,5.984541429460249,,,,0.05273769374918235,0.9525
linear,5.4247133512428425,,,,0.49703952080935954,0.95244
linear,3.759357235534266,,,,0.9104289178911058,0.9523
rbf,713.2050975353222,,,0.1054886024352314,1.5910335311072978,0.95193
rbf,850.4168035451756,,,2.2258039598374295,0.9003595843998619,0.95184
linear,7.136639535131147,,,,0.20124079905434594,0.95178
poly,7.470658426725413,6.23409138537199,1.9108385135752881,0.38658383310060385,1.1727837622755526,0.95129
rbf,262.33997247929324,,,0.10015265853634103,1.7283363523652158,0.95126
sigmoid,261.030535949331,-1.3975011877702848,,,1.8668808249582838,0.9512
linear,8.931524852773542,,,,0.07418420938980379,0.95112
rbf,378.98435849097865,,,0.12362860341896209,1.7360619271416728,0.95086
poly,0.6780093512323581,-10.018656787303275,1.3831356766452139,9.29069245873281,1.2789783627990121,0.95083
rbf,971.1129356342848,,,0.2655512897737472,1.7732701813778518,0.9508
rbf,826.956423373132,,,0.025316847734679904,0.665582854364544,0.95077
linear,11.074206474121798,,,,0.061179333907350704,0.95069
rbf,875.0044294828737,,,0.05896842695826576,1.330508739967638,0.9506
rbf,811.5280757294997,,,0.10055709343415764,1.7075999363611507,0.95051
sigmoid,677.2198941156655,-1.3033748623042385,,,1.7509107857993491,0.9504
linear,13.51050953305098,,,,0.002233029826216435,0.95031
linear,21.497659691289027,,,,0.37486082824804207,0.94999
sigmoid,51.91112055989588,-0.6648787194101047,,,0.007567939061289862,0.94976
linear,23.75530392653382,,,,0.36618724595227686,0.94965
linear,19.6066520623282,,,,0.009151883364272414,0.94956
linear,31.8737581893299,,,,1.1056113167660324,0.94942
linear,27.460979178651915,,,,0.056492248770810494,0.94925
poly,329.1919840346345,1.8976619064283504,5.0,0.0,2.0,0.94907
linear,18.803555671744185,,,,1.5279499908094365,0.94899
linear,29.933042690677198,,,,0.0001,0.94873
linear,35.0442600050865,,,,0.04351276843699858,0.94852
rbf,704.5324849114821,,,0.035426391784972866,1.7719916462131824,0.94815
linear,40.69578681852245,,,,0.033284167868214656,0.94809
sigmoid,656.5899537756426,-5.0141964120648055,,,1.8248320989853895,0.94803
linear,49.197359008221135,,,,0.10182660019924285,0.94801
rbf,868.6296363168183,,,0.06109518567874728,1.8384120052842154,0.94798
linear,72.6786493313624,,,,0.5211038058511224,0.94789
poly,685.531837004179,6.075116762752472,1.063992485246462,0.09065169359547487,0.9099738638871055,0.94783
linear,37.82615351104629,,,,1.3658918755389826,0.94775
linear,56.65094786170025,,,,0.08842913533533049,0.94772
linear,59.92314680659194,,,,0.07801697582154016,0.94752
linear,44.057370230064265,,,,1.5118511084650732,0.94737
linear,5.366257162113042,,,,1.9607698215196894,0.94723
poly,19.560212347242558,-9.415769394427556,1.1865799772583658,4.328183068126914,0.7385078214173799,0.94711
linear,80.71595387122892,,,,1.0815672716329434,0.94708
linear,126.34528687082062,,,,0.2311366960952634,0.94703
linear,157.4383559969559,,,,0.6880097768149909,0.94682
linear,85.30354078611253,,,,0.068226503329877,0.94674
linear,79.51195259102714,,,,1.5215017022351804,0.94668
linear,75.62024903736665,,,,0.02380985700839756,0.94665
