colsample_bylevel,colsample_bynode,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample,mean_test_score
1.0,0.2,0.2,0.963,0.9,10,1.106,0.0,0.891,1.0,0.9457
0.2,1.0,0.2,0.0,0.9,9,0.0,0.0,4.047,1.0,0.94564
0.2,0.2,1.0,1.099,0.9,10,0.863,0.0,0.94,1.0,0.94544
1.0,0.2,0.2,0.0,0.9,10,0.614,0.0,1.285,1.0,0.94541
1.0,0.2,0.2,0.0,0.9,8,0.646,0.0,1.411,1.0,0.94507
0.2,1.0,0.2,1.507,0.9,8,1.552,0.0,1.839,1.0,0.94489
0.2,1.0,0.2,0.0,0.9,8,0.794,0.0,3.659,1.0,0.94472
0.2,1.0,0.2,0.0,0.9,9,0.0,0.487,3.866,1.0,0.94463
0.2,0.2,1.0,0.0,0.9,10,0.0,0.0,1.358,1.0,0.94452
0.2,0.2,0.2,0.765,0.9,10,0.0,0.0,1.15,1.0,0.9444
0.2,1.0,1.0,0.88,0.9,7,0.801,0.0,1.761,1.0,0.94437
0.2,0.2,1.0,0.0,0.9,9,1.06,0.342,0.933,1.0,0.94435
0.2,0.2,0.2,0.0,0.9,10,0.6,0.0,2.379,1.0,0.94429
0.2,1.0,0.2,0.709,0.9,7,0.0,0.0,3.098,1.0,0.94423
1.0,0.2,1.0,0.917,0.9,7,0.0,0.0,3.019,1.0,0.94423
1.0,0.2,0.2,0.0,0.9,10,0.0,0.0,2.145,1.0,0.94423
0.2,1.0,0.2,0.0,0.9,8,2.126,0.0,3.787,1.0,0.94414
1.0,0.2,0.2,0.774,0.9,7,1.077,0.0,2.782,1.0,0.94411
0.2,1.0,0.2,0.0,0.9,10,1.182,0.0,3.792,1.0,0.94409
1.0,1.0,1.0,1.237,0.9,7,1.378,0.0,1.115,1.0,0.944
1.0,0.2,0.2,0.0,0.9,10,0.0,0.0,3.525,1.0,0.94397
0.2,0.2,0.2,1.853,0.9,10,0.606,0.0,0.151,1.0,0.94394
0.2,1.0,0.2,0.0,0.9,8,0.751,0.0,2.377,1.0,0.94394
0.2,1.0,0.2,1.071,0.9,7,1.581,0.0,1.526,1.0,0.94391
0.2,1.0,1.0,0.689,0.9,10,1.22,0.0,0.728,1.0,0.94391
1.0,1.0,1.0,0.0,0.9,7,0.0,0.0,2.84,1.0,0.94386
0.2,1.0,0.2,1.037,0.9,7,1.51,0.0,2.948,1.0,0.94377
0.2,1.0,0.2,0.0,0.9,7,1.192,0.0,2.823,1.0,0.94354
1.0,0.2,1.0,1.671,0.9,8,0.0,0.0,1.784,1.0,0.94342
1.0,1.0,0.2,3.071,0.9,5,0.0,0.0,1.403,1.0,0.94337
0.2,0.2,1.0,0.0,0.9,8,2.642,1.283,3.354,1.0,0.94337
0.2,0.2,0.2,0.0,0.9,9,0.632,1.338,1.021,1.0,0.94325
1.0,0.2,1.0,0.0,0.9,7,0.247,0.955,0.517,1.0,0.94325
1.0,0.2,0.2,0.0,0.9,9,0.0,0.508,3.163,1.0,0.94313
0.2,0.2,1.0,0.0,0.9,8,1.136,0.0,2.559,1.0,0.94296
0.2,0.2,1.0,0.0,0.9,8,1.048,1.355,1.048,1.0,0.9429
0.2,1.0,1.0,0.0,0.9,8,0.0,0.0,3.037,1.0,0.94288
1.0,0.2,1.0,0.0,0.9,8,1.749,0.0,0.0,1.0,0.94285
0.2,0.2,0.2,0.0,0.9,10,0.0,0.0,5.0,1.0,0.94282
0.2,0.2,0.2,0.0,0.9,8,1.763,0.572,1.115,1.0,0.94276
0.2,0.2,1.0,1.674,0.9,8,1.613,0.851,1.422,1.0,0.94273
0.2,1.0,1.0,0.0,0.9,8,1.335,0.0,0.802,1.0,0.94267
0.2,0.2,0.2,0.0,0.9,10,1.72,0.0,1.044,1.0,0.94267
0.2,0.2,0.2,0.0,0.9,10,0.617,0.0,0.0,1.0,0.94264
0.2,0.2,1.0,0.705,0.9,10,0.954,0.0,1.849,1.0,0.94256
1.0,0.624,1.0,0.844,0.748,10,1.608,0.0,1.781,1.0,0.94256
1.0,1.0,0.2,1.681,0.9,6,2.102,0.83,1.576,1.0,0.94253
0.2,0.2,0.2,0.0,0.9,8,1.455,0.0,5.0,1.0,0.94253
0.2,0.2,0.2,0.0,0.9,10,0.0,1.686,2.162,1.0,0.94247
0.2,0.2,1.0,1.453,0.9,10,0.0,0.0,2.818,1.0,0.94241
1.0,0.2,1.0,1.151,0.9,8,1.455,0.0,1.343,1.0,0.94241
1.0,0.2,1.0,1.473,0.9,10,0.0,0.0,1.099,1.0,0.94239
0.2,1.0,0.2,0.0,0.9,7,2.198,1.052,3.392,1.0,0.94233
0.2,0.2,1.0,0.0,0.9,10,0.558,1.431,3.655,1.0,0.94227
0.2,0.2,0.2,0.0,0.9,10,2.149,1.783,5.0,1.0,0.94227
1.0,1.0,0.2,0.0,0.9,10,1.717,0.0,0.495,1.0,0.94218
1.0,1.0,1.0,2.73,0.9,6,1.968,0.0,1.096,1.0,0.94218
0.2,1.0,1.0,0.0,0.9,10,0.0,0.0,3.351,1.0,0.94215
1.0,1.0,0.2,1.436,0.9,5,0.0,0.0,2.931,1.0,0.94207
0.2,1.0,1.0,0.0,0.9,7,1.882,0.0,2.413,1.0,0.94198
1.0,1.0,0.2,0.946,0.9,5,1.839,0.0,3.027,1.0,0.94192
1.0,0.2,1.0,0.0,0.9,7,1.652,1.412,0.0,1.0,0.9419
0.2,0.2,1.0,0.0,0.9,7,3.67,0.0,5.0,1.0,0.94187
0.2,1.0,1.0,0.97,0.9,7,2.22,0.973,2.095,1.0,0.94181
1.0,1.0,0.2,0.205,0.9,7,0.0,0.0,2.074,1.0,0.94175
0.2,0.2,1.0,0.0,0.9,6,0.0,0.0,4.399,1.0,0.94175
0.2,0.2,1.0,0.0,0.9,8,0.0,2.256,0.0,1.0,0.94161
0.2,1.0,1.0,1.144,0.9,8,2.919,0.0,5.0,1.0,0.94155
0.2,0.2,1.0,0.0,0.9,8,1.322,1.446,3.244,1.0,0.94152
1.0,0.2,0.2,0.0,0.9,6,3.639,1.33,0.0,1.0,0.94152
1.0,1.0,0.2,2.592,0.9,5,3.012,0.0,0.0,1.0,0.94152
1.0,0.2,0.2,0.0,0.9,8,1.239,0.976,0.0,1.0,0.94149
1.0,1.0,0.2,0.0,0.9,6,0.58,0.0,3.763,1.0,0.94149
1.0,1.0,1.0,1.368,0.9,6,3.042,0.0,1.803,1.0,0.94146
0.2,0.2,1.0,0.0,0.9,8,1.816,2.87,1.843,1.0,0.94146
0.2,1.0,0.2,0.0,0.9,9,0.855,0.0,5.0,1.0,0.94143
1.0,0.2,0.2,0.0,0.9,7,2.957,1.156,3.089,1.0,0.94143
1.0,0.2,0.2,1.806,0.9,10,1.608,0.0,3.984,1.0,0.94141
0.2,1.0,1.0,2.196,0.9,8,0.785,0.0,1.794,1.0,0.94141
1.0,0.2,0.2,0.0,0.9,10,3.367,0.0,3.554,1.0,0.94138
0.2,1.0,0.2,2.149,0.9,10,0.975,0.0,1.825,1.0,0.94129
0.2,0.2,1.0,1.872,0.9,10,2.305,0.0,2.358,1.0,0.94129
1.0,1.0,0.2,0.0,0.9,7,1.965,0.0,1.288,1.0,0.94123
0.2,1.0,0.2,0.0,0.9,9,1.254,1.615,4.331,1.0,0.94115
0.2,0.2,0.2,1.124,0.9,9,0.36,0.0,2.299,1.0,0.94112
1.0,1.0,0.2,1.867,0.9,7,0.34,0.0,1.696,1.0,0.94109
0.2,1.0,0.2,0.0,0.9,8,2.943,2.762,2.965,1.0,0.94103
1.0,1.0,1.0,0.0,0.9,8,1.53,1.254,2.46,1.0,0.941
0.2,0.2,1.0,0.0,0.9,8,3.328,1.715,2.287,1.0,0.94092
0.2,0.2,0.2,0.383,0.9,10,2.388,1.368,2.061,1.0,0.94086
1.0,0.2,1.0,2.118,0.9,10,1.331,0.0,1.457,1.0,0.94086
1.0,1.0,0.2,0.0,0.9,7,3.287,0.0,5.0,1.0,0.9408
1.0,1.0,1.0,2.579,0.9,5,1.235,0.0,0.0,1.0,0.9408
0.2,1.0,1.0,1.077,0.9,6,0.0,0.0,2.904,1.0,0.94066
1.0,0.2,1.0,0.0,0.9,10,2.587,1.18,3.561,1.0,0.94057
1.0,0.2,1.0,0.0,0.9,10,2.497,0.0,0.0,1.0,0.94054
0.2,0.2,1.0,0.0,0.9,6,1.964,0.0,4.052,1.0,0.94045
0.2,1.0,0.2,0.0,0.9,10,1.038,1.19,2.835,1.0,0.94045
1.0,0.2,1.0,0.921,0.9,6,1.429,0.0,1.607,1.0,0.94043
1.0,0.2,0.2,1.516,0.2,10,2.185,0.0,0.93,1.0,0.94043
1.0,0.2,1.0,1.338,0.9,6,0.0,0.0,4.201,1.0,0.9404
0.2,1.0,0.2,0.0,0.9,5,1.936,0.0,4.781,1.0,0.9404
1.0,1.0,1.0,1.373,0.9,6,2.459,0.0,0.0,1.0,0.9404
1.0,1.0,0.2,3.785,0.9,6,1.28,0.0,1.461,1.0,0.94037
0.2,0.2,0.2,0.0,0.9,7,0.0,0.0,3.802,1.0,0.94034
0.2,0.2,0.2,0.0,0.9,9,2.274,2.463,3.415,1.0,0.94034
1.0,1.0,0.2,2.573,0.9,4,2.157,0.0,1.482,1.0,0.94031
1.0,1.0,0.2,1.003,0.9,10,0.0,0.0,4.017,1.0,0.94031
1.0,0.2,1.0,2.917,0.9,5,0.0,0.0,2.196,1.0,0.94028
0.2,1.0,0.2,4.305,0.9,4,2.978,0.0,0.0,1.0,0.94028
1.0,0.2,1.0,3.846,0.9,5,1.658,0.0,0.0,1.0,0.94025
0.2,1.0,0.2,1.376,0.9,10,2.622,0.0,3.643,1.0,0.9402
0.2,1.0,1.0,1.987,0.9,8,2.256,0.0,0.99,1.0,0.94017
0.2,1.0,1.0,2.456,0.2,10,0.0,0.0,0.49,1.0,0.94008
0.2,0.2,1.0,1.373,0.9,10,0.0,0.0,0.0,1.0,0.94008
0.2,0.2,0.2,0.0,0.9,6,3.035,0.0,2.586,1.0,0.94005
1.0,1.0,1.0,1.15,0.9,8,1.034,1.042,0.582,1.0,0.94005
0.2,0.2,1.0,0.505,0.2,10,0.913,0.0,0.889,1.0,0.94002
1.0,1.0,0.2,0.0,0.9,9,0.0,0.0,1.202,1.0,0.93999
0.2,0.2,0.2,0.0,0.9,10,4.012,2.27,0.0,1.0,0.93994
0.2,1.0,1.0,0.0,0.9,8,2.746,0.0,4.39,1.0,0.93994
1.0,1.0,1.0,0.0,0.9,6,3.422,0.0,0.0,1.0,0.93991
0.2,0.2,0.2,2.16,0.9,7,1.906,0.0,1.822,1.0,0.93991
0.2,1.0,0.2,3.8,0.9,4,0.0,0.0,1.099,1.0,0.93979
0.2,1.0,1.0,0.0,0.9,10,2.735,0.0,5.0,1.0,0.93976
1.0,1.0,1.0,0.0,0.9,5,0.0,0.0,3.732,1.0,0.93976
1.0,0.2,1.0,0.0,0.9,9,2.847,1.738,0.779,1.0,0.93973
1.0,1.0,0.2,1.282,0.9,4,3.042,0.0,0.0,1.0,0.93973
0.2,1.0,1.0,0.0,0.9,8,4.328,0.0,3.153,1.0,0.93973
0.2,1.0,1.0,0.0,0.9,7,2.734,1.938,5.0,1.0,0.9397
1.0,1.0,0.2,1.517,0.9,4,1.527,0.0,5.0,1.0,0.93968
1.0,1.0,0.2,4.271,0.9,10,2.137,0.0,1.298,1.0,0.93956
1.0,1.0,0.2,3.024,0.9,4,0.0,0.0,2.836,1.0,0.93956
1.0,0.2,0.2,0.957,0.9,5,3.502,0.0,0.879,1.0,0.93956
0.2,1.0,1.0,0.0,0.9,8,2.144,2.222,0.0,1.0,0.93953
1.0,0.2,0.2,0.0,0.9,8,1.295,3.211,0.0,1.0,0.93945
1.0,0.2,0.2,0.0,0.9,7,2.836,3.121,1.5,1.0,0.93936
