2024-04-05 10:54:03,694 INFO     kb Extreme Gradient Boosting
2024-04-05 10:55:09,030 INFO     kb Current Parameters : colsample_bylevel = 0.449, colsample_bynode = 0.855, colsample_bytree = 0.468, gamma = 1.937, learning_rate = 0.277, max_depth = 10, min_child_weight = 6.488, reg_alpha = 4.262, reg_lambda = 0.398, subsample = 0.88.
2024-04-05 10:55:36,474 INFO     kb time_taken = 27.443 s, boosting_rounds_used = 81. Mean Accuracy : Train - 0.94718, Test - 0.93357.
2024-04-05 10:55:36,475 INFO     kb Current Parameters : colsample_bylevel = 0.888, colsample_bynode = 0.332, colsample_bytree = 0.725, gamma = 3.695, learning_rate = 0.772, max_depth = 10, min_child_weight = 1.224, reg_alpha = 4.161, reg_lambda = 2.214, subsample = 0.994.
2024-04-05 10:55:53,406 INFO     kb time_taken = 16.932 s, boosting_rounds_used = 37. Mean Accuracy : Train - 0.94488, Test - 0.92846.
2024-04-05 10:55:53,407 INFO     kb Current Parameters : colsample_bylevel = 0.791, colsample_bynode = 0.65, colsample_bytree = 0.824, gamma = 4.942, learning_rate = 0.832, max_depth = 8, min_child_weight = 6.512, reg_alpha = 4.078, reg_lambda = 4.551, subsample = 0.728.
2024-04-05 10:56:06,276 INFO     kb time_taken = 12.869 s, boosting_rounds_used = 31. Mean Accuracy : Train - 0.93411, Test - 0.92221.
2024-04-05 10:56:06,277 INFO     kb Current Parameters : colsample_bylevel = 0.427, colsample_bynode = 0.928, colsample_bytree = 0.29, gamma = 0.78, learning_rate = 0.702, max_depth = 7, min_child_weight = 7.263, reg_alpha = 4.992, reg_lambda = 4.399, subsample = 0.949.
2024-04-05 10:56:37,432 INFO     kb time_taken = 31.154 s, boosting_rounds_used = 100. Mean Accuracy : Train - 0.94749, Test - 0.93359.
2024-04-05 10:56:37,433 INFO     kb Current Parameters : colsample_bylevel = 0.265, colsample_bynode = 0.633, colsample_bytree = 0.23, gamma = 6.829, learning_rate = 0.62, max_depth = 9, min_child_weight = 3.785, reg_alpha = 1.289, reg_lambda = 0.994, subsample = 0.613.
2024-04-05 10:57:01,524 INFO     kb time_taken = 24.091 s, boosting_rounds_used = 100. Mean Accuracy : Train - 0.93698, Test - 0.92743.
2024-04-05 10:57:01,525 INFO     kb Current Parameters : colsample_bylevel = 0.77, colsample_bynode = 0.622, colsample_bytree = 0.301, gamma = 1.252, learning_rate = 0.397, max_depth = 6, min_child_weight = 6.546, reg_alpha = 4.509, reg_lambda = 4.662, subsample = 0.55.
2024-04-05 10:57:33,790 INFO     kb time_taken = 32.266 s, boosting_rounds_used = 100. Mean Accuracy : Train - 0.93695, Test - 0.92581.
2024-04-05 10:57:33,791 INFO     kb Current Parameters : colsample_bylevel = 0.719, colsample_bynode = 0.754, colsample_bytree = 0.781, gamma = 0.456, learning_rate = 0.573, max_depth = 8, min_child_weight = 3.176, reg_alpha = 4.921, reg_lambda = 1.661, subsample = 0.9.
2024-04-05 10:58:36,072 INFO     kb time_taken = 62.28 s, boosting_rounds_used = 86. Mean Accuracy : Train - 0.96178, Test - 0.93636.
2024-04-05 10:58:36,074 INFO     kb Current Parameters : colsample_bylevel = 0.235, colsample_bynode = 0.545, colsample_bytree = 0.207, gamma = 3.719, learning_rate = 0.362, max_depth = 6, min_child_weight = 0.847, reg_alpha = 1.911, reg_lambda = 4.428, subsample = 0.926.
2024-04-05 10:59:02,111 INFO     kb time_taken = 26.037 s, boosting_rounds_used = 100. Mean Accuracy : Train - 0.94004, Test - 0.93138.
2024-04-05 10:59:02,112 INFO     kb Current Parameters : colsample_bylevel = 0.304, colsample_bynode = 0.288, colsample_bytree = 0.291, gamma = 4.668, learning_rate = 0.406, max_depth = 9, min_child_weight = 0.531, reg_alpha = 1.432, reg_lambda = 2.527, subsample = 0.588.
2024-04-05 10:59:24,830 INFO     kb time_taken = 22.718 s, boosting_rounds_used = 100. Mean Accuracy : Train - 0.93701, Test - 0.92921.
2024-04-05 10:59:24,832 INFO     kb Current Parameters : colsample_bylevel = 0.271, colsample_bynode = 0.425, colsample_bytree = 0.322, gamma = 7.764, learning_rate = 0.666, max_depth = 7, min_child_weight = 1.236, reg_alpha = 0.4, reg_lambda = 0.605, subsample = 0.672.
2024-04-05 10:59:46,284 INFO     kb time_taken = 21.452 s, boosting_rounds_used = 87. Mean Accuracy : Train - 0.94426, Test - 0.93218.
2024-04-05 10:59:46,285 INFO     kb Current Parameters : colsample_bylevel = 0.806, colsample_bynode = 0.356, colsample_bytree = 0.484, gamma = 1.065, learning_rate = 0.887, max_depth = 8, min_child_weight = 4.889, reg_alpha = 0.08, reg_lambda = 0.03, subsample = 0.727.
